2026-02-19T10:18:00.215056+01:00,  soc=31.0,  volt=45.91,  volt_delta=-6.89, volt_rate_per_min=-6.89, volt_status=CRITICAL_EMERGENCY, batt_w=70.0,  batt_mode=discharge,  batt_discharge_w=70.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=0, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:19:00.215492+01:00,  soc=31.0,  volt=45.91,  volt_delta=-6.89, volt_rate_per_min=-6.89, volt_status=CRITICAL_EMERGENCY, batt_w=70.0,  batt_mode=discharge,  batt_discharge_w=70.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=0, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:20:00.214990+01:00,  soc=31.0,  volt=45.91,  volt_delta=-6.89, volt_rate_per_min=-6.89, volt_status=CRITICAL_EMERGENCY, batt_w=70.0,  batt_mode=discharge,  batt_discharge_w=70.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=0, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:21:00.214806+01:00,  soc=31.0,  volt=45.91,  volt_delta=-6.89, volt_rate_per_min=-6.89, volt_status=CRITICAL_EMERGENCY, batt_w=70.0,  batt_mode=discharge,  batt_discharge_w=70.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=0, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:22:00.215215+01:00,  soc=31.0,  volt=45.91,  volt_delta=-6.89, volt_rate_per_min=-6.89, volt_status=CRITICAL_EMERGENCY, batt_w=70.0,  batt_mode=discharge,  batt_discharge_w=70.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=0, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:23:00.215894+01:00,  soc=31.0,  volt=45.81,  volt_delta=-6.99, volt_rate_per_min=-6.99, volt_status=CRITICAL_EMERGENCY, batt_w=70.0,  batt_mode=discharge,  batt_discharge_w=70.0,  batt_charge_w=0,  load_w=0.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=0, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:24:00.214747+01:00,  soc=31.0,  volt=45.81,  volt_delta=-6.99, volt_rate_per_min=-6.99, volt_status=CRITICAL_EMERGENCY, batt_w=9.0,  batt_mode=idle,  batt_discharge_w=9.0,  batt_charge_w=0,  load_w=0.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:25:00.215574+01:00,  soc=31.0,  volt=45.81,  volt_delta=-6.99, volt_rate_per_min=-6.99, volt_status=CRITICAL_EMERGENCY, batt_w=11.0,  batt_mode=idle,  batt_discharge_w=11.0,  batt_charge_w=0,  load_w=0.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:26:00.216308+01:00,  soc=31.0,  volt=45.81,  volt_delta=-6.99, volt_rate_per_min=-6.99, volt_status=CRITICAL_EMERGENCY, batt_w=11.0,  batt_mode=idle,  batt_discharge_w=11.0,  batt_charge_w=0,  load_w=0.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:27:00.215343+01:00,  soc=31.0,  volt=45.81,  volt_delta=-6.99, volt_rate_per_min=-6.99, volt_status=CRITICAL_EMERGENCY, batt_w=11.0,  batt_mode=idle,  batt_discharge_w=11.0,  batt_charge_w=0,  load_w=0.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:28:00.215230+01:00,  soc=31.0,  volt=45.81,  volt_delta=-6.99, volt_rate_per_min=-6.99, volt_status=CRITICAL_EMERGENCY, batt_w=11.0,  batt_mode=idle,  batt_discharge_w=11.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:29:00.214820+01:00,  soc=31.0,  volt=46.14,  volt_delta=-6.66, volt_rate_per_min=-6.66, volt_status=CRITICAL_EMERGENCY, batt_w=11.0,  batt_mode=idle,  batt_discharge_w=11.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:30:00.214876+01:00,  soc=31.0,  volt=45.85,  volt_delta=-6.95, volt_rate_per_min=-6.95, volt_status=CRITICAL_EMERGENCY, batt_w=77.0,  batt_mode=discharge,  batt_discharge_w=77.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:31:00.216132+01:00,  soc=31.0,  volt=45.85,  volt_delta=-6.95, volt_rate_per_min=-6.95, volt_status=CRITICAL_EMERGENCY, batt_w=10.0,  batt_mode=idle,  batt_discharge_w=10.0,  batt_charge_w=0,  load_w=18.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=5, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
