2026-02-22T10:19:00.214773+01:00,  soc=90.0,  volt=52.72,  volt_delta=-0.08, volt_rate_per_min=-0.08, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4062.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:20:00.215405+01:00,  soc=90.0,  volt=52.72,  volt_delta=-0.08, volt_rate_per_min=-0.08, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4250.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:21:00.325705+01:00,  soc=90.0,  volt=52.72,  volt_delta=-0.08, volt_rate_per_min=-0.08, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4366.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:22:00.322527+01:00,  soc=90.0,  volt=52.72,  volt_delta=-0.08, volt_rate_per_min=-0.08, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4297.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:23:00.322304+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4201.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:24:00.321998+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4360.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:25:00.322461+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=8497.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:26:00.322166+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=6380.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:27:00.321957+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4335.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:28:00.322201+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4456.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
2026-02-22T10:29:00.322103+01:00,  soc=90.0,  volt=52.71,  volt_delta=-0.09, volt_rate_per_min=-0.09, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4456.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3163, is_critical_soc=False
