2026-02-24T21:11:00.340128+01:00,  soc=25.0,  volt=51.51,  volt_delta=-1.29, volt_rate_per_min=-1.29, volt_status=NORMAL, batt_w=422.0,  batt_mode=discharge,  batt_discharge_w=422.0,  batt_charge_w=0,  load_w=1994.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=8, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=28, volt_penalty_a=10, voltage_protected_limit_a=18, soc_power_w=1418, is_critical_soc=False
2026-02-24T21:12:00.340805+01:00,  soc=25.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=423.0,  batt_mode=discharge,  batt_discharge_w=423.0,  batt_charge_w=0,  load_w=1800.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=8, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=28, volt_penalty_a=10, voltage_protected_limit_a=18, soc_power_w=1418, is_critical_soc=False
2026-02-24T21:13:00.340680+01:00,  soc=25.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=423.0,  batt_mode=discharge,  batt_discharge_w=423.0,  batt_charge_w=0,  load_w=1927.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=8, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=28, volt_penalty_a=10, voltage_protected_limit_a=18, soc_power_w=1418, is_critical_soc=False
2026-02-24T21:14:00.340385+01:00,  soc=25.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=423.0,  batt_mode=discharge,  batt_discharge_w=423.0,  batt_charge_w=0,  load_w=2095.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=8, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=28, volt_penalty_a=10, voltage_protected_limit_a=18, soc_power_w=1418, is_critical_soc=False
2026-02-24T21:15:00.340619+01:00,  soc=25.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=423.0,  batt_mode=discharge,  batt_discharge_w=423.0,  batt_charge_w=0,  load_w=1914.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=8, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=28, volt_penalty_a=10, voltage_protected_limit_a=18, soc_power_w=1418, is_critical_soc=False
2026-02-24T21:16:00.340158+01:00,  soc=25.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=423.0,  batt_mode=discharge,  batt_discharge_w=423.0,  batt_charge_w=0,  load_w=2087.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=8, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=28, volt_penalty_a=10, voltage_protected_limit_a=18, soc_power_w=1418, is_critical_soc=False
2026-02-24T21:17:00.339771+01:00,  soc=25.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=423.0,  batt_mode=discharge,  batt_discharge_w=423.0,  batt_charge_w=0,  load_w=687.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=8, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=28, volt_penalty_a=10, voltage_protected_limit_a=18, soc_power_w=1418, is_critical_soc=False
2026-02-24T21:18:00.339849+01:00,  soc=25.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=423.0,  batt_mode=discharge,  batt_discharge_w=423.0,  batt_charge_w=0,  load_w=669.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=8, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=28, volt_penalty_a=10, voltage_protected_limit_a=18, soc_power_w=1418, is_critical_soc=False
2026-02-24T21:19:00.339759+01:00,  soc=25.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=423.0,  batt_mode=discharge,  batt_discharge_w=423.0,  batt_charge_w=0,  load_w=671.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=8, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=28, volt_penalty_a=10, voltage_protected_limit_a=18, soc_power_w=1418, is_critical_soc=False
2026-02-24T21:20:00.339843+01:00,  soc=24.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=302.0,  batt_mode=discharge,  batt_discharge_w=302.0,  batt_charge_w=0,  load_w=244.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:21:00.339769+01:00,  soc=24.0,  volt=51.34,  volt_delta=-1.46, volt_rate_per_min=-1.46, volt_status=NORMAL, batt_w=302.0,  batt_mode=discharge,  batt_discharge_w=302.0,  batt_charge_w=0,  load_w=244.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
