2026-02-28T08:56:00.340278+01:00,  soc=77.0,  volt=52.91,  volt_delta=0.11, volt_rate_per_min=0.11, volt_status=NORMAL, batt_w=16.0,  batt_mode=idle,  batt_discharge_w=16.0,  batt_charge_w=0,  load_w=1223.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3175, is_critical_soc=False
2026-02-28T08:57:00.340503+01:00,  soc=77.0,  volt=52.91,  volt_delta=0.11, volt_rate_per_min=0.11, volt_status=NORMAL, batt_w=16.0,  batt_mode=idle,  batt_discharge_w=16.0,  batt_charge_w=0,  load_w=1223.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3175, is_critical_soc=False
2026-02-28T08:58:00.340052+01:00,  soc=77.0,  volt=52.91,  volt_delta=0.11, volt_rate_per_min=0.11, volt_status=NORMAL, batt_w=16.0,  batt_mode=idle,  batt_discharge_w=16.0,  batt_charge_w=0,  load_w=1225.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3175, is_critical_soc=False
2026-02-28T08:59:00.339754+01:00,  soc=77.0,  volt=52.91,  volt_delta=0.11, volt_rate_per_min=0.11, volt_status=NORMAL, batt_w=16.0,  batt_mode=idle,  batt_discharge_w=16.0,  batt_charge_w=0,  load_w=1225.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3175, is_critical_soc=False
2026-02-28T09:00:00.339965+01:00,  soc=77.0,  volt=52.91,  volt_delta=0.11, volt_rate_per_min=0.11, volt_status=NORMAL, batt_w=16.0,  batt_mode=idle,  batt_discharge_w=16.0,  batt_charge_w=0,  load_w=1225.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3175, is_critical_soc=False
2026-02-28T09:01:00.340239+01:00,  soc=77.0,  volt=52.6,  volt_delta=-0.2, volt_rate_per_min=-0.2, volt_status=NORMAL, batt_w=923.0,  batt_mode=discharge,  batt_discharge_w=923.0,  batt_charge_w=0,  load_w=1225.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=5, voltage_protected_limit_a=55, soc_power_w=3156, is_critical_soc=False
2026-02-28T09:02:00.340645+01:00,  soc=77.0,  volt=52.45,  volt_delta=-0.35, volt_rate_per_min=-0.35, volt_status=NORMAL, batt_w=928.0,  batt_mode=discharge,  batt_discharge_w=928.0,  batt_charge_w=0,  load_w=1225.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=5, voltage_protected_limit_a=55, soc_power_w=3147, is_critical_soc=False
2026-02-28T09:03:00.339874+01:00,  soc=76.0,  volt=52.45,  volt_delta=-0.35, volt_rate_per_min=-0.35, volt_status=NORMAL, batt_w=928.0,  batt_mode=discharge,  batt_discharge_w=928.0,  batt_charge_w=0,  load_w=1213.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=5, voltage_protected_limit_a=55, soc_power_w=3147, is_critical_soc=False
2026-02-28T09:04:00.340905+01:00,  soc=76.0,  volt=52.45,  volt_delta=-0.35, volt_rate_per_min=-0.35, volt_status=NORMAL, batt_w=987.0,  batt_mode=discharge,  batt_discharge_w=987.0,  batt_charge_w=0,  load_w=1255.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=5, voltage_protected_limit_a=55, soc_power_w=3147, is_critical_soc=False
2026-02-28T09:05:00.340594+01:00,  soc=76.0,  volt=52.32,  volt_delta=-0.48, volt_rate_per_min=-0.48, volt_status=NORMAL, batt_w=1172.0,  batt_mode=discharge,  batt_discharge_w=1172.0,  batt_charge_w=0,  load_w=1478.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3139, is_critical_soc=False
2026-02-28T09:06:00.340019+01:00,  soc=76.0,  volt=52.32,  volt_delta=-0.48, volt_rate_per_min=-0.48, volt_status=NORMAL, batt_w=1172.0,  batt_mode=discharge,  batt_discharge_w=1172.0,  batt_charge_w=0,  load_w=1478.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3139, is_critical_soc=False
