2026-01-28T17:10:00.530940+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T17:10:00.538432+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T17:15:00.560453+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T17:15:00.571771+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T17:20:00.589426+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.5, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T17:20:00.600828+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.5, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T17:25:00.589653+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=35.5, powerNow=0, freqNow=0, opState=heating, status=no_change
2026-01-28T17:25:00.608030+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=35.5, powerNow=0, freqNow=0, opState=heating, status=no_change
2026-01-28T17:30:00.665175+01:00, outdoor_avg_60m=0.0, flow_avg_10m=35.5, flowNow=46, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T17:30:00.671585+01:00, outdoor_avg_60m=0.0, flow_avg_10m=35.5, flowNow=46, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T17:35:00.685998+01:00, outdoor_avg_60m=0.0, flow_avg_10m=46.0, flowNow=47.5, powerNow=2000, freqNow=62, opState=heating, status=no_change
2026-01-28T17:35:00.703464+01:00, outdoor_avg_60m=0.0, flow_avg_10m=46.0, flowNow=47.5, powerNow=2000, freqNow=62, opState=heating, status=no_change
2026-01-28T17:40:00.522210+01:00, outdoor_avg_60m=0.0, flow_avg_10m=46.75, flowNow=48.5, powerNow=2000, freqNow=62, opState=heating, status=no_change
2026-01-28T17:40:00.536892+01:00, outdoor_avg_60m=0.0, flow_avg_10m=46.75, flowNow=48.5, powerNow=2000, freqNow=62, opState=heating, status=no_change
2026-01-28T17:45:00.552305+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=60, opState=heating, status=no_change
2026-01-28T17:45:00.563741+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=60, opState=heating, status=no_change
2026-01-28T17:50:00.593237+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.5, flowNow=47.5, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T17:50:00.614438+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.5, flowNow=47.5, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T17:55:00.608304+01:00, outdoor_avg_60m=0.0, flow_avg_10m=47.5, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T17:55:00.618209+01:00, outdoor_avg_60m=0.0, flow_avg_10m=47.5, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T18:00:00.650890+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T18:00:00.657900+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
