2026-02-17T21:00:01.792927+01:00, outdoor_avg_60m=-2.25, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=56, opState=heating, status=set_flow_target
2026-02-17T21:00:01.800976+01:00, outdoor_avg_60m=-2.25, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=56, opState=heating, status=set_flow_target
2026-02-17T21:05:01.623048+01:00, outdoor_avg_60m=-2.33, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:05:01.635042+01:00, outdoor_avg_60m=-2.33, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:10:01.648777+01:00, outdoor_avg_60m=-2.42, flow_avg_10m=48.25, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:10:01.664949+01:00, outdoor_avg_60m=-2.42, flow_avg_10m=48.25, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:15:01.888649+01:00, outdoor_avg_60m=-2.55, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:15:01.901015+01:00, outdoor_avg_60m=-2.55, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:20:01.716359+01:00, outdoor_avg_60m=-2.58, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:20:01.726914+01:00, outdoor_avg_60m=-2.58, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:25:01.746154+01:00, outdoor_avg_60m=-2.73, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:25:01.758007+01:00, outdoor_avg_60m=-2.73, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:30:01.783547+01:00, outdoor_avg_60m=-2.82, flow_avg_10m=48.5, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:30:01.791557+01:00, outdoor_avg_60m=-2.82, flow_avg_10m=48.5, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-02-17T21:35:01.606767+01:00, outdoor_avg_60m=-2.83, flow_avg_10m=48.75, flowNow=48.5, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T21:35:01.619449+01:00, outdoor_avg_60m=-2.83, flow_avg_10m=48.75, flowNow=48.5, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T21:40:01.641400+01:00, outdoor_avg_60m=-2.92, flow_avg_10m=48.75, flowNow=48, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T21:40:01.650052+01:00, outdoor_avg_60m=-2.92, flow_avg_10m=48.75, flowNow=48, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T21:45:01.674194+01:00, outdoor_avg_60m=-3.08, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T21:45:01.684944+01:00, outdoor_avg_60m=-3.08, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T21:50:01.705200+01:00, outdoor_avg_60m=-3.17, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T21:50:01.717763+01:00, outdoor_avg_60m=-3.17, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T21:55:01.534900+01:00, outdoor_avg_60m=-3.25, flow_avg_10m=48.5, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T21:55:01.548782+01:00, outdoor_avg_60m=-3.25, flow_avg_10m=48.5, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:00:01.782916+01:00, outdoor_avg_60m=-3.33, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:00:01.791322+01:00, outdoor_avg_60m=-3.33, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:05:01.600011+01:00, outdoor_avg_60m=-3.42, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:05:01.611432+01:00, outdoor_avg_60m=-3.42, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:10:01.638210+01:00, outdoor_avg_60m=-3.5, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:10:01.645489+01:00, outdoor_avg_60m=-3.5, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:15:01.664621+01:00, outdoor_avg_60m=-3.58, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:15:01.672120+01:00, outdoor_avg_60m=-3.58, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:20:01.696860+01:00, outdoor_avg_60m=-3.67, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:20:01.710337+01:00, outdoor_avg_60m=-3.67, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:25:01.728545+01:00, outdoor_avg_60m=-3.75, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:25:01.739314+01:00, outdoor_avg_60m=-3.75, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:30:01.756909+01:00, outdoor_avg_60m=-3.83, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:30:01.768957+01:00, outdoor_avg_60m=-3.83, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:35:01.793263+01:00, outdoor_avg_60m=-4.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:35:01.800184+01:00, outdoor_avg_60m=-4.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-02-17T22:40:01.624502+01:00, outdoor_avg_60m=-4.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T22:40:01.631526+01:00, outdoor_avg_60m=-4.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
